id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Cipher,Nova Verse,hip hop,confident,0.74,96,0.68,0.86,0.12
12,Dawn Sonata,Elm Quartet,classical,serene,0.22,68,0.57,0.19,0.97
13,Island Signal,Tide Assembly,reggae,breezy,0.58,88,0.79,0.72,0.45
14,Iron Skyline,Furnace Saints,metal,rebellious,0.94,172,0.41,0.49,0.04
15,Dust Road Radio,Cedar Run,country,nostalgic,0.51,104,0.66,0.63,0.59
16,Neon Warehouse,Glass District,house,euphoric,0.89,126,0.83,0.91,0.08
17,Winter Letters,North Orchard,folk,wistful,0.33,76,0.52,0.38,0.88
18,Velvet Hour,Sable Lane,rnb,romantic,0.47,92,0.74,0.69,0.53